"annotation"	"coefficient.agl"	"pvalue.agl"	"adj.pvalue.agl"
"LOC286272"	1.06788306442805	1.75387614926405e-09	9.91500876506487e-09
"MGC10997"	1.02531048859936	1.75690951260386e-09	9.93087902704583e-09
"MGC5306"	-1.08935830905285	1.75729560219592e-09	9.93178349415528e-09
"RAP1B"	-0.862759147189422	1.75925128076978e-09	9.94087176420865e-09
"LOC392793"	-1.5025034562544	1.75935621694754e-09	9.94087176420865e-09
"HACE1"	1.20554981908992	1.76134786729075e-09	9.95084531352237e-09
"MGC15763"	-0.910843250018145	1.76178023851692e-09	9.95200818545544e-09
"A_24_P49800"	-1.0856152759734	1.76587661625392e-09	9.9728282737394e-09
"RBM13"	-1.08988556528253	1.76598232138732e-09	9.9728282737394e-09
"DFFA"	-1.29043700021242	1.76614700256522e-09	9.9728282737394e-09
"AK054960"	1.2492521298615	1.76667684745415e-09	9.97453805237221e-09
"RPESP"	-1.49221855443767	1.76778198672944e-09	9.97949504741855e-09
"ARRB2"	0.955317168749394	1.76828356199075e-09	9.9810439627156e-09
"THC2401724"	0.985048804002553	1.77048588598815e-09	9.99219109164252e-09
"RAB3C"	1.30779864929764	1.77237730549038e-09	1.00015809129734e-08
"KIAA0268"	1.44427071001067	1.77283815975711e-09	1.00028966345093e-08
"WBSCR18"	0.814169947994202	1.77538360102518e-09	1.00159723868804e-08
"E1A_r60_n9"	0.989457620812476	1.77837665801208e-09	1.00315697179158e-08
"HLA-DPB1"	1.81649900342743	1.77954326840143e-09	1.00368616413074e-08
"E2F6"	-0.96286670375071	1.78001818401272e-09	1.00382514559516e-08
"UCHL5"	-0.829958484940107	1.78218135289549e-09	1.00491604433387e-08
"SHF"	2.08639681511861	1.78252591295654e-09	1.00498133832256e-08
"KIAA1102"	2.56514273769842	1.78290648543571e-09	1.00506691661332e-08
"ZNF630"	1.09124714477952	1.78956245025986e-09	1.00868960742065e-08
"BQ377696"	-1.29396335389212	1.79379564937162e-09	1.01094594833283e-08
"LOC144983"	-1.08631410773656	1.7953665586393e-09	1.01151419255313e-08
"FLJ37970"	1.37755031152889	1.79542033888888e-09	1.01151419255313e-08
"NR1D2"	1.01445425304546	1.79549467882117e-09	1.01151419255313e-08
