"annotation"	"coefficient.affx"	"pvalue.affx"	"adj.pvalue.affx"
"SNRPN"	2.69696677483906	1.05486896598866e-14	1.43500654838262e-12
"PAWR"	-4.46154948489418	1.07315221257272e-14	1.45545455836074e-12
"NUP205"	-2.75365190108574	1.08900377902809e-14	1.46863022647756e-12
"ELAVL3"	8.79984736282862	1.08942987574973e-14	1.46863022647756e-12
"CENPE"	-5.44636452468244	1.09923436713023e-14	1.47739739745587e-12
"SHANK2"	4.49138502668837	1.12862881066577e-14	1.51084904470475e-12
"OMG"	7.94469930148153	1.132532322128e-14	1.51084904470475e-12
"ZWILCH"	-3.16717616094317	1.13425077983018e-14	1.51084904470475e-12
"AMER2"	8.54802831461187	1.13779183793477e-14	1.51106859046317e-12
"CD69"	-5.70367854789546	1.17216214986661e-14	1.54318638580697e-12
"CPB2"	-5.3498059353709	1.17313927752803e-14	1.54318638580697e-12
"BUB1"	-7.04459542340173	1.17521166491169e-14	1.54318638580697e-12
"GAS7"	4.16764396913274	1.17576762346987e-14	1.54318638580697e-12
"KCNB1"	4.63107247856311	1.17995946780082e-14	1.54415982283314e-12
"DNAJC18"	4.50714555170634	1.18628122948065e-14	1.54790678445003e-12
"ENPP2"	5.23641795888224	1.2455916613654e-14	1.62057268593226e-12
"CGA"	-7.02389860441162	1.25607059900966e-14	1.6294694414283e-12
"PITPNM3"	4.69298176414077	1.27641703159148e-14	1.64851055107027e-12
"WBSCR17"	5.35181168723328	1.27811502641296e-14	1.64851055107027e-12
"KCNB1"	6.76809835727036	1.29523979003367e-14	1.66397998858457e-12
"ACTL6B"	5.77332335349383	1.30053542893515e-14	1.66397998858457e-12
"PPP3CA"	3.93617523584594	1.30126239164492e-14	1.66397998858457e-12
"PPP2R2C"	5.44637299601583	1.32130871964974e-14	1.68480037198415e-12
"ANK3"	4.4416041703412	1.33070212981776e-14	1.69195751483306e-12
"RAB3C"	5.34044364243825	1.33831032729063e-14	1.69491216012928e-12
"CYP26B1"	4.41302882117512	1.34059993003344e-14	1.69491216012928e-12
"PPP1R14A"	4.15538806846615	1.39211382245266e-14	1.75442169479634e-12
"ORM1"	-7.36386920725464	1.39550925763584e-14	1.75442169479634e-12
"FAM107A"	8.55201606034667	1.42621692797813e-14	1.77331196748817e-12
"CKS2"	-5.7982594991223	1.42711261391553e-14	1.77331196748817e-12
"PFN1"	-2.43730198521672	1.42756753183912e-14	1.77331196748817e-12
"GINS4"	-5.23179297032382	1.43068254540718e-14	1.77331196748817e-12
